[2018-04-07 21:16:49,581][Dummy-1:828][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
[2018-04-07 21:16:51,684][Dummy-1:828][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
[2018-04-07 21:16:51,805][Dummy-1:828][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.121) SHOW FULL TABLES; args=None
[2018-04-07 21:16:51,841][Dummy-1:828][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.007) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
[2018-04-07 21:16:52,144][Thread-2:1204][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
[2018-04-07 21:16:52,147][Thread-2:1204][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.002) SELECT `index_nav`.`id`, `index_nav`.`firstNavName`, `index_nav`.`firstNavUrl`, `index_nav`.`firstNavIconName`, `index_nav`.`secondNavName`, `index_nav`.`secondNavUrl`, `index_nav`.`thirdNavName`, `index_nav`.`thirdNavUrl` FROM `index_nav`; args=()
[2018-04-07 21:17:06,065][Thread-59:5884][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2018-04-07 21:17:06,066][Thread-59:5884][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SELECT `index_nav`.`id`, `index_nav`.`firstNavName`, `index_nav`.`firstNavUrl`, `index_nav`.`firstNavIconName`, `index_nav`.`secondNavName`, `index_nav`.`secondNavUrl`, `index_nav`.`thirdNavName`, `index_nav`.`thirdNavUrl` FROM `index_nav`; args=()
[2018-04-07 21:17:13,367][Thread-60:4040][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
[2018-04-07 21:17:13,368][Thread-60:4040][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.001) SELECT `index_nav`.`id`, `index_nav`.`firstNavName`, `index_nav`.`firstNavUrl`, `index_nav`.`firstNavIconName`, `index_nav`.`secondNavName`, `index_nav`.`secondNavUrl`, `index_nav`.`thirdNavName`, `index_nav`.`thirdNavUrl` FROM `index_nav`; args=()
[2018-04-07 21:17:14,920][Thread-70:7240][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2018-04-07 21:17:14,924][Thread-70:7240][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.004) select * from `wo_jenkins_services` where `is_del`=0;; args=None
[2018-04-07 21:17:21,967][Thread-71:7288][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2018-04-07 21:17:21,969][Thread-71:7288][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SELECT `wo_jenkins_services`.`project_name` FROM `wo_jenkins_services`; args=()
[2018-04-07 21:17:24,933][Thread-73:7304][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
[2018-04-07 21:17:24,934][Thread-73:7304][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.002) select * from `wo_jenkins_services` where `project_name` in ('da') and `is_del`=0  order by `id` asc;; args=None
[2018-04-07 21:17:34,035][Thread-80:7484][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
[2018-04-07 21:17:34,038][Thread-80:7484][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.001) SELECT `wo_supervisor_group`.`id`, `wo_supervisor_group`.`supervisor_group_name`, `wo_supervisor_group`.`is_del` FROM `wo_supervisor_group`; args=()
[2018-04-07 21:17:56,332][Thread-82:7580][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2018-04-07 21:17:56,335][Thread-82:7580][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2018-04-07 21:17:56,335][Thread-82:7580][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SELECT `wo_supervisor_group`.`id`, `wo_supervisor_group`.`supervisor_group_name`, `wo_supervisor_group`.`is_del` FROM `wo_supervisor_group` WHERE `wo_supervisor_group`.`supervisor_group_name` = 'kkk'; args=(u'kkk',)
[2018-04-07 21:17:57,757][Thread-83:7584][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2018-04-07 21:17:57,762][Thread-83:7584][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2018-04-07 21:17:57,763][Thread-83:7584][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SELECT `wo_supervisor_group`.`id`, `wo_supervisor_group`.`supervisor_group_name`, `wo_supervisor_group`.`is_del` FROM `wo_supervisor_group` WHERE `wo_supervisor_group`.`supervisor_group_name` = 'kkk'; args=(u'kkk',)
[2018-04-07 21:17:57,765][Thread-83:7584][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.001) INSERT INTO `wo_supervisor_group` (`supervisor_group_name`, `is_del`) VALUES ('kkk', NULL); args=[u'kkk', None]
[2018-04-07 21:17:58,374][Thread-85:7596][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2018-04-07 21:17:58,375][Thread-85:7596][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.001) SELECT `wo_supervisor_group`.`id`, `wo_supervisor_group`.`supervisor_group_name`, `wo_supervisor_group`.`is_del` FROM `wo_supervisor_group`; args=()
[2018-04-07 21:18:19,505][Thread-87:7688][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2018-04-07 21:18:19,506][Thread-87:7688][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.001) SELECT `index_nav`.`id`, `index_nav`.`firstNavName`, `index_nav`.`firstNavUrl`, `index_nav`.`firstNavIconName`, `index_nav`.`secondNavName`, `index_nav`.`secondNavUrl`, `index_nav`.`thirdNavName`, `index_nav`.`thirdNavUrl` FROM `index_nav`; args=()
[2018-04-07 21:18:28,878][Thread-89:7708][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
[2018-04-07 21:18:28,880][Thread-89:7708][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.001) SELECT `index_nav`.`id`, `index_nav`.`firstNavName`, `index_nav`.`firstNavUrl`, `index_nav`.`firstNavIconName`, `index_nav`.`secondNavName`, `index_nav`.`secondNavUrl`, `index_nav`.`thirdNavName`, `index_nav`.`thirdNavUrl` FROM `index_nav`; args=()
[2018-04-07 21:18:29,565][Thread-94:7756][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2018-04-07 21:18:29,565][Thread-94:7756][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SELECT `wo_version_check_history`.`id`, `wo_version_check_history`.`ctime`, `wo_version_check_history`.`excel_name`, `wo_version_check_history`.`mtime`, `wo_version_check_history`.`check_count`, `wo_version_check_history`.`file_exists_status`, `wo_version_check_history`.`tar_status`, `wo_version_check_history`.`excel_datas`, `wo_version_check_history`.`is_del`, `wo_version_check_history`.`creator` FROM `wo_version_check_history`; args=()
[2018-04-07 21:18:29,700][Thread-94:7756][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.001) SELECT `wo_version_check_history`.`id`, `wo_version_check_history`.`ctime`, `wo_version_check_history`.`excel_name`, `wo_version_check_history`.`mtime`, `wo_version_check_history`.`check_count`, `wo_version_check_history`.`file_exists_status`, `wo_version_check_history`.`tar_status`, `wo_version_check_history`.`excel_datas`, `wo_version_check_history`.`is_del`, `wo_version_check_history`.`creator` FROM `wo_version_check_history` LIMIT 21; args=()
[2018-04-07 21:18:29,703][Thread-94:7756][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SELECT `wo_version_check_history`.`id`, `wo_version_check_history`.`ctime`, `wo_version_check_history`.`excel_name`, `wo_version_check_history`.`mtime`, `wo_version_check_history`.`check_count`, `wo_version_check_history`.`file_exists_status`, `wo_version_check_history`.`tar_status`, `wo_version_check_history`.`excel_datas`, `wo_version_check_history`.`is_del`, `wo_version_check_history`.`creator` FROM `wo_version_check_history` LIMIT 21; args=()
[2018-04-07 21:18:29,706][Thread-94:7756][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.001) SELECT `wo_version_check_history`.`id`, `wo_version_check_history`.`ctime`, `wo_version_check_history`.`excel_name`, `wo_version_check_history`.`mtime`, `wo_version_check_history`.`check_count`, `wo_version_check_history`.`file_exists_status`, `wo_version_check_history`.`tar_status`, `wo_version_check_history`.`excel_datas`, `wo_version_check_history`.`is_del`, `wo_version_check_history`.`creator` FROM `wo_version_check_history` LIMIT 21; args=()
[2018-04-07 21:18:29,707][Thread-94:7756][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SELECT `wo_version_check_history`.`id`, `wo_version_check_history`.`ctime`, `wo_version_check_history`.`excel_name`, `wo_version_check_history`.`mtime`, `wo_version_check_history`.`check_count`, `wo_version_check_history`.`file_exists_status`, `wo_version_check_history`.`tar_status`, `wo_version_check_history`.`excel_datas`, `wo_version_check_history`.`is_del`, `wo_version_check_history`.`creator` FROM `wo_version_check_history` LIMIT 21; args=()
[2018-04-07 21:19:29,687][Thread-106:7352][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2018-04-07 21:19:29,687][Thread-106:7352][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SELECT `index_nav`.`id`, `index_nav`.`firstNavName`, `index_nav`.`firstNavUrl`, `index_nav`.`firstNavIconName`, `index_nav`.`secondNavName`, `index_nav`.`secondNavUrl`, `index_nav`.`thirdNavName`, `index_nav`.`thirdNavUrl` FROM `index_nav`; args=()
[2018-04-07 21:19:30,338][Thread-107:7348][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
[2018-04-07 21:19:30,345][Thread-107:7348][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.007) select * from `wo_jenkins_services` where `is_del`=0;; args=None
[2018-04-07 21:19:36,313][Thread-108:7364][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
[2018-04-07 21:19:36,316][Thread-108:7364][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
[2018-04-07 21:19:36,318][Thread-108:7364][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.001) SELECT `wo_jenkins_services`.`id`, `wo_jenkins_services`.`service_name`, `wo_jenkins_services`.`locate_service_name`, `wo_jenkins_services`.`project_name`, `wo_jenkins_services`.`service_app_name`, `wo_jenkins_services`.`is_bin`, `wo_jenkins_services`.`is_config`, `wo_jenkins_services`.`sup_group`, `wo_jenkins_services`.`suffix`, `wo_jenkins_services`.`service_dir`, `wo_jenkins_services`.`ctime`, `wo_jenkins_services`.`mtime`, `wo_jenkins_services`.`is_del` FROM `wo_jenkins_services` WHERE `wo_jenkins_services`.`id` = 6 LIMIT 1; args=(6,)
[2018-04-07 21:19:40,752][Thread-109:7536][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
