[2018-04-10 22:30:32,990][Dummy-1:7012][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
[2018-04-10 22:30:35,114][Dummy-1:7012][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
[2018-04-10 22:30:35,127][Dummy-1:7012][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.013) SHOW FULL TABLES; args=None
[2018-04-10 22:30:35,163][Dummy-1:7012][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.006) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
[2018-04-10 22:30:47,198][Thread-2:7488][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
[2018-04-10 22:30:47,200][Thread-2:7488][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.001) SELECT `index_nav`.`id`, `index_nav`.`firstNavName`, `index_nav`.`firstNavUrl`, `index_nav`.`firstNavIconName`, `index_nav`.`secondNavName`, `index_nav`.`secondNavUrl`, `index_nav`.`thirdNavName`, `index_nav`.`thirdNavUrl` FROM `index_nav`; args=()
[2018-04-10 22:30:54,105][Thread-4:7496][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2018-04-10 22:30:54,107][Thread-4:7496][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.001) SELECT `index_nav`.`id`, `index_nav`.`firstNavName`, `index_nav`.`firstNavUrl`, `index_nav`.`firstNavIconName`, `index_nav`.`secondNavName`, `index_nav`.`secondNavUrl`, `index_nav`.`thirdNavName`, `index_nav`.`thirdNavUrl` FROM `index_nav`; args=()
[2018-04-10 22:30:54,572][Thread-5:7500][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2018-04-10 22:30:54,575][Thread-5:7500][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.004) select * from `wo_jenkins_services` where `is_del`=0;; args=None
[2018-04-10 22:31:08,950][Thread-10:7804][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2018-04-10 22:31:08,953][Thread-10:7804][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2018-04-10 22:31:08,953][Thread-10:7804][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SELECT `wo_jenkins_services`.`id`, `wo_jenkins_services`.`service_name`, `wo_jenkins_services`.`locate_service_name`, `wo_jenkins_services`.`project_name`, `wo_jenkins_services`.`service_app_name`, `wo_jenkins_services`.`is_bin`, `wo_jenkins_services`.`is_config`, `wo_jenkins_services`.`sup_group`, `wo_jenkins_services`.`suffix`, `wo_jenkins_services`.`service_dir`, `wo_jenkins_services`.`ctime`, `wo_jenkins_services`.`mtime`, `wo_jenkins_services`.`is_del` FROM `wo_jenkins_services` WHERE `wo_jenkins_services`.`id` = 9 LIMIT 1; args=(9,)
[2018-04-10 22:31:14,573][Thread-11:7816][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2018-04-10 22:31:14,576][Thread-11:7816][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2018-04-10 22:31:14,578][Thread-11:7816][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.001) SELECT `wo_jenkins_services`.`id`, `wo_jenkins_services`.`service_name`, `wo_jenkins_services`.`locate_service_name`, `wo_jenkins_services`.`project_name`, `wo_jenkins_services`.`service_app_name`, `wo_jenkins_services`.`is_bin`, `wo_jenkins_services`.`is_config`, `wo_jenkins_services`.`sup_group`, `wo_jenkins_services`.`suffix`, `wo_jenkins_services`.`service_dir`, `wo_jenkins_services`.`ctime`, `wo_jenkins_services`.`mtime`, `wo_jenkins_services`.`is_del` FROM `wo_jenkins_services` WHERE `wo_jenkins_services`.`id` = 9 LIMIT 1; args=(9,)
[2018-04-10 22:31:15,036][Thread-12:7828][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2018-04-10 22:31:15,036][Thread-12:7828][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.001) SELECT `wo_supervisor_group`.`id`, `wo_supervisor_group`.`supervisor_group_name`, `wo_supervisor_group`.`is_del` FROM `wo_supervisor_group`; args=()
