[2018-04-25 16:55:36,505][Dummy-1:1312][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
[2018-04-25 16:55:39,470][Dummy-1:1312][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2018-04-25 16:55:39,516][Dummy-1:1312][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.047) SHOW FULL TABLES; args=None
[2018-04-25 16:55:39,595][Dummy-1:1312][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.016) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
[2018-04-25 18:02:00,404][Thread-2:7240][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2018-04-25 18:02:00,405][Thread-2:7240][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.001) SELECT `index_nav`.`id`, `index_nav`.`firstNavName`, `index_nav`.`firstNavUrl`, `index_nav`.`firstNavIconName`, `index_nav`.`secondNavName`, `index_nav`.`secondNavUrl`, `index_nav`.`thirdNavName`, `index_nav`.`thirdNavUrl` FROM `index_nav`; args=()
[2018-04-25 18:02:04,414][Thread-58:7576][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2018-04-25 18:02:04,414][Thread-58:7576][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.001) SELECT `index_nav`.`id`, `index_nav`.`firstNavName`, `index_nav`.`firstNavUrl`, `index_nav`.`firstNavIconName`, `index_nav`.`secondNavName`, `index_nav`.`secondNavUrl`, `index_nav`.`thirdNavName`, `index_nav`.`thirdNavUrl` FROM `index_nav`; args=()
[2018-04-25 18:02:10,236][Thread-60:7584][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2018-04-25 18:02:10,237][Thread-60:7584][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SELECT `index_nav`.`id`, `index_nav`.`firstNavName`, `index_nav`.`firstNavUrl`, `index_nav`.`firstNavIconName`, `index_nav`.`secondNavName`, `index_nav`.`secondNavUrl`, `index_nav`.`thirdNavName`, `index_nav`.`thirdNavUrl` FROM `index_nav`; args=()
[2018-04-25 18:02:12,082][Thread-70:7732][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2018-04-25 18:02:12,085][Thread-70:7732][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.003) select * from `wo_jenkins_services` where `is_del`=0;; args=None
[2018-04-25 18:02:15,770][Thread-71:7744][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
[2018-04-25 18:02:15,776][Thread-71:7744][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2018-04-25 18:02:15,776][Thread-71:7744][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SELECT `wo_jenkins_services`.`id`, `wo_jenkins_services`.`service_name`, `wo_jenkins_services`.`locate_service_name`, `wo_jenkins_services`.`project_name`, `wo_jenkins_services`.`service_app_name`, `wo_jenkins_services`.`is_bin`, `wo_jenkins_services`.`is_config`, `wo_jenkins_services`.`sup_group`, `wo_jenkins_services`.`suffix`, `wo_jenkins_services`.`service_dir`, `wo_jenkins_services`.`ctime`, `wo_jenkins_services`.`mtime`, `wo_jenkins_services`.`is_del` FROM `wo_jenkins_services` WHERE `wo_jenkins_services`.`id` = 6 LIMIT 1; args=(6,)
[2018-04-25 18:02:23,927][Thread-77:7776][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2018-04-25 18:02:23,927][Thread-77:7776][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.001) SELECT `index_nav`.`id`, `index_nav`.`firstNavName`, `index_nav`.`firstNavUrl`, `index_nav`.`firstNavIconName`, `index_nav`.`secondNavName`, `index_nav`.`secondNavUrl`, `index_nav`.`thirdNavName`, `index_nav`.`thirdNavUrl` FROM `index_nav`; args=()
[2018-04-25 18:02:26,509][Thread-78:7832][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2018-04-25 18:02:26,513][Thread-78:7832][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.003) select * from `wo_jenkins_services` where `is_del`=0;; args=None
[2018-04-25 18:02:28,841][Thread-79:7836][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2018-04-25 18:02:28,842][Thread-79:7836][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.001) SELECT `index_nav`.`id`, `index_nav`.`firstNavName`, `index_nav`.`firstNavUrl`, `index_nav`.`firstNavIconName`, `index_nav`.`secondNavName`, `index_nav`.`secondNavUrl`, `index_nav`.`thirdNavName`, `index_nav`.`thirdNavUrl` FROM `index_nav`; args=()
[2018-04-25 18:02:29,493][Thread-85:7868][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2018-04-25 18:02:29,496][Thread-85:7868][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.001) SELECT `wo_version_check_history`.`id`, `wo_version_check_history`.`ctime`, `wo_version_check_history`.`excel_name`, `wo_version_check_history`.`mtime`, `wo_version_check_history`.`check_count`, `wo_version_check_history`.`file_exists_status`, `wo_version_check_history`.`tar_status`, `wo_version_check_history`.`excel_datas`, `wo_version_check_history`.`is_del`, `wo_version_check_history`.`creator` FROM `wo_version_check_history`; args=()
[2018-04-25 18:02:29,601][Thread-85:7868][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SELECT `wo_version_check_history`.`id`, `wo_version_check_history`.`ctime`, `wo_version_check_history`.`excel_name`, `wo_version_check_history`.`mtime`, `wo_version_check_history`.`check_count`, `wo_version_check_history`.`file_exists_status`, `wo_version_check_history`.`tar_status`, `wo_version_check_history`.`excel_datas`, `wo_version_check_history`.`is_del`, `wo_version_check_history`.`creator` FROM `wo_version_check_history` LIMIT 21; args=()
[2018-04-25 18:02:29,602][Thread-85:7868][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SELECT `wo_version_check_history`.`id`, `wo_version_check_history`.`ctime`, `wo_version_check_history`.`excel_name`, `wo_version_check_history`.`mtime`, `wo_version_check_history`.`check_count`, `wo_version_check_history`.`file_exists_status`, `wo_version_check_history`.`tar_status`, `wo_version_check_history`.`excel_datas`, `wo_version_check_history`.`is_del`, `wo_version_check_history`.`creator` FROM `wo_version_check_history` LIMIT 21; args=()
[2018-04-25 18:02:29,604][Thread-85:7868][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.001) SELECT `wo_version_check_history`.`id`, `wo_version_check_history`.`ctime`, `wo_version_check_history`.`excel_name`, `wo_version_check_history`.`mtime`, `wo_version_check_history`.`check_count`, `wo_version_check_history`.`file_exists_status`, `wo_version_check_history`.`tar_status`, `wo_version_check_history`.`excel_datas`, `wo_version_check_history`.`is_del`, `wo_version_check_history`.`creator` FROM `wo_version_check_history` LIMIT 21; args=()
[2018-04-25 18:02:29,604][Thread-85:7868][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SELECT `wo_version_check_history`.`id`, `wo_version_check_history`.`ctime`, `wo_version_check_history`.`excel_name`, `wo_version_check_history`.`mtime`, `wo_version_check_history`.`check_count`, `wo_version_check_history`.`file_exists_status`, `wo_version_check_history`.`tar_status`, `wo_version_check_history`.`excel_datas`, `wo_version_check_history`.`is_del`, `wo_version_check_history`.`creator` FROM `wo_version_check_history` LIMIT 21; args=()
