[2018-03-17 09:22:04,895][Dummy-1:4156][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2018-03-17 09:22:05,177][Dummy-1:4156][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2018-03-17 09:22:05,193][Dummy-1:4156][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.016) SHOW FULL TABLES; args=None
[2018-03-17 09:22:05,193][Dummy-1:4156][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
[2018-03-17 09:27:39,500][Thread-2:5776][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2018-03-17 09:27:39,500][Thread-2:5776][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.001) SELECT `index_nav`.`id`, `index_nav`.`firstNavName`, `index_nav`.`firstNavUrl`, `index_nav`.`firstNavIconName`, `index_nav`.`secondNavName`, `index_nav`.`secondNavUrl`, `index_nav`.`thirdNavName`, `index_nav`.`thirdNavUrl` FROM `index_nav`; args=()
[2018-03-17 09:27:39,523][Thread-2:5776][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = '0k047zfdzje8d7eu6ueshrugzipki2ep' AND `django_session`.`expire_date` > '2018-03-17 01:27:39.522000'); args=('0k047zfdzje8d7eu6ueshrugzipki2ep', u'2018-03-17 01:27:39.522000')
[2018-03-17 09:27:39,526][Thread-2:5776][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 2; args=(2,)
[2018-03-17 09:28:22,407][Dummy-1:5300][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
[2018-03-17 09:28:22,755][Dummy-1:5300][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2018-03-17 09:28:22,756][Dummy-1:5300][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.001) SHOW FULL TABLES; args=None
